ticker,company,gics_sector,industry,sa_quant,sa_score,val,growth,profit,mom,rev,sources,mcap_b,adv_m,alpaca_tradable
CVX,Chevron Corporation,Energy,"Integrated Oil and Gas Ranked Overall 75 out of 4271 "",",STRONG BUY,4.89,C,C+,A+,B,B+,screener:energy|summary:grok,402.66,1576.7,True
DAR,Darling Ingredients Inc.,Consumer Staples,,STRONG BUY,4.89,,,,,,screener:staples|analysis,10.37,160.4,True
CRDO,Credo Technology Group Holding Ltd,Information Technology,,STRONG BUY,4.88,,,,,,screener:top-rated-all|screener:technology|summary:round1,43.0,1149.8,True
SITM,SiTime Corporation,Information Technology,,STRONG BUY,4.88,,,,,,screener:technology,18.49,317.6,True
UMC,United Microelectronics Corporation,Information Technology,,STRONG BUY,4.88,,,,,,screener:technology,46.0,260.9,True
XOM,ExxonMobil Holdings Corporation,Energy,,STRONG BUY,4.87,,,,,,screener:energy|summary:round1,678.92,2250.8,True
WFC,Wells Fargo & Company,Financials,,STRONG BUY,4.87,,,,,,screener:financials,253.53,1085.9,True
DINO,HF Sinclair Corporation,Energy,,STRONG BUY,4.86,,,,,,screener:energy,17.3,263.5,True
ENVA,Enova International; Inc.,Financials,,STRONG BUY,4.85,,,,,,screener:financials,6.05,81.1,True
OII,Oceaneering International; Inc.,Energy,,STRONG BUY,4.84,,,,,,screener:energy,5.28,47.4,True
KMX,CarMax; Inc.,Consumer Discretionary,,STRONG BUY,4.84,,,,,,screener:consumer-disc,8.82,120.8,True
PNC,The PNC Financial Services Group; Inc.,Financials,,STRONG BUY,4.84,,,,,,screener:financials,97.0,356.3,True
CIB,Grupo Cibest S.A.,Financials,,STRONG BUY,4.84,,,,,,screener:financials,23.95,29.5,True
RELY,Remitly Global; Inc.,Financials,,STRONG BUY,4.83,,,,,,screener:top-rated-all|screener:financials,5.65,79.7,True
HALO,Halozyme Therapeutics; Inc.,Health Care,,STRONG BUY,4.83,,,,,,screener:healthcare,12.28,234.2,True
ALL,The Allstate Corporation,Financials,,STRONG BUY,4.83,,,,,,screener:financials,64.18,472.3,True
FRO,Frontline plc,Energy,"Oil and Gas Storage and Transportation Ranked Overall"",",STRONG BUY,4.82,A,A,A-,A-,A+,screener:top-rated-all|screener:energy|summary:grok|analysis,9.72,77.4,True
ATI,ATI Inc.,Industrials,,STRONG BUY,4.82,,,,,,screener:industrials,28.19,330.6,True
JLL,Jones Lang LaSalle Incorporated,Real Estate,,STRONG BUY,4.82,,,,,,screener:real-estate,17.82,130.2,True
ESTC,Elastic N.V.,Information Technology,,STRONG BUY,4.82,,,,,,screener:technology,8.93,173.4,True
TWLO,Twilio Inc.,Information Technology,,STRONG BUY,4.82,,,,,,screener:technology,34.6,582.3,True
VEEV,Veeva Systems Inc.,Health Care,,STRONG BUY,4.81,,,,,,screener:healthcare|summary:round1,40.27,396.6,True
HMC,Honda Motor Co.; Ltd.,Consumer Discretionary,,STRONG BUY,4.81,,,,,,screener:consumer-disc,43.3,37.3,True
BTSG,BrightSpring Health Services; Inc.,Health Care,,STRONG BUY,4.81,,,,,,screener:healthcare,11.65,178.6,True
XYZ,Block; Inc.,Financials,,STRONG BUY,4.81,,,,,,screener:financials,49.36,402.7,True
GM,General Motors Company,Consumer Discretionary,,STRONG BUY,4.8,,,,,,screener:consumer-disc,79.53,500.7,True
VCTR,Victory Capital Holdings; Inc.,Financials,,STRONG BUY,4.8,,,,,,screener:financials,7.11,61.8,True
THG,The Hanover Insurance Group; Inc.,Financials,,STRONG BUY,4.8,,,,,,screener:financials,7.77,71.2,True
TXN,Texas Instruments Incorporated,Information Technology,,STRONG BUY,4.8,,,,,,screener:technology,241.43,1923.3,True
ARW,Arrow Electronics; Inc.,Information Technology,,STRONG BUY,4.8,,,,,,screener:technology,10.73,136.8,True
ONTO,Onto Innovation Inc.,Information Technology,,STRONG BUY,4.79,,,,,,screener:top-rated-all|screener:technology,17.93,361.7,True
LAD,Lithia Motors; Inc.,Consumer Discretionary,,STRONG BUY,4.79,,,,,,screener:consumer-disc,8.15,139.1,True
STT,State Street Corporation,Financials,,STRONG BUY,4.78,,,,,,screener:financials,51.4,285.0,True
LTH,Life Time Group Holdings; Inc.,Consumer Discretionary,,STRONG BUY,4.77,,,,,,screener:consumer-disc,10.08,141.4,True
WEX,WEX Inc.,Financials,,STRONG BUY,4.77,,,,,,screener:financials,6.81,130.0,True
TSEM,Tower Semiconductor Ltd.,Information Technology,,STRONG BUY,4.77,,,,,,screener:technology,25.16,474.8,True
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,,STRONG BUY,4.76,,,,,,screener:top-rated-all|screener:energy,123.41,297.0,True
CFG,Citizens Financial Group; Inc.,Financials,,STRONG BUY,4.76,,,,,,screener:top-rated-all|screener:financials,29.42,238.4,True
SWK,Stanley Black & Decker; Inc.,Industrials,,STRONG BUY,4.76,,,,,,screener:industrials,15.1,218.6,True
TOST,Toast; Inc.,Financials,,STRONG BUY,4.76,,,,,,screener:financials,21.18,339.4,True
ET,Energy Transfer LP Common Units,Energy,"Oil and Gas Storage and T"",",STRONG BUY,4.75,A-,C,A,B-,B+,screener:energy|summary:grok|analysis,72.96,209.1,True
NUE,Nucor Corporation,Materials,"Steel Ranked Overall 177 out of 427"",",STRONG BUY,4.75,D+,B,A-,A,A,screener:materials|summary:grok,55.27,433.9,True
FTDR,Frontdoor; Inc.,Consumer Discretionary,,STRONG BUY,4.75,,,,,,screener:consumer-disc,5.69,45.5,True
COF,Capital One Financial Corporation,Financials,,STRONG BUY,4.75,,,,,,screener:financials,133.68,740.1,True
CTRE,CareTrust REIT; Inc.,Real Estate,,STRONG BUY,4.75,,,,,,screener:real-estate|screener:reits,9.35,92.7,True
AVT,Avnet; Inc.,Information Technology,,STRONG BUY,4.75,,,,,,screener:technology,7.27,121.0,True
IOT,Samsara Inc.,Information Technology,,STRONG BUY,4.75,,,,,,screener:technology,23.27,194.9,True
IVZ,Invesco Ltd.,Financials,,STRONG BUY,4.74,,,,,,screener:top-rated-all|screener:financials,14.14,154.4,True
BNS,The Bank of Nova Scotia,Financials,,STRONG BUY,4.74,,,,,,screener:financials,106.76,168.2,True
SKM,SK Telecom Co.; Ltd.,Communication Services,,STRONG BUY,4.74,,,,,,screener:communication,15.47,79.8,True
JXN,Jackson Financial Inc.,Financials,,STRONG BUY,4.73,,,,,,screener:top-rated-all|screener:financials,8.8,78.2,True
DAL,Delta Air Lines; Inc.,Industrials,,STRONG BUY,4.73,,,,,,screener:industrials,54.19,433.1,True
AMP,Ameriprise Financial; Inc.,Financials,,STRONG BUY,4.73,,,,,,screener:financials,49.08,244.6,True
ADM,Archer-Daniels-Midland Company,Consumer Staples,,STRONG BUY,4.73,,,,,,screener:staples,38.7,331.2,True
UBER,Uber Technologies; Inc.,Industrials,,STRONG BUY,4.72,,,,,,screener:industrials,160.95,1483.1,True
RY,Royal Bank of Canada,Financials,,STRONG BUY,4.72,,,,,,screener:financials,285.2,268.2,True
GEF,Greif; Inc.,Materials,,STRONG BUY,4.71,,,,,,screener:materials,5.0,25.4,True
TX,Ternium S.A.,Materials,,STRONG BUY,4.71,,,,,,screener:materials,10.89,37.8,True
VIRT,Virtu Financial; Inc.,Financials,,STRONG BUY,4.71,,,,,,screener:financials,6.0,91.4,True
HST,Host Hotels & Resorts; Inc.,Real Estate,,STRONG BUY,4.71,,,,,,screener:real-estate|screener:reits|analysis,15.9,246.7,True
COHR,Coherent Corp.,Information Technology,,STRONG BUY,4.71,,,,,,screener:technology,56.7,2436.3,True
ARGX,argenx SE,Health Care,,STRONG BUY,4.7,,,,,,screener:healthcare|summary:round1,64.66,283.4,True
CPAY,Corpay; Inc.,Financials,,STRONG BUY,4.7,,,,,,screener:financials,27.39,231.1,True
USFD,US Foods Holding Corp.,Consumer Staples,,STRONG BUY,4.7,,,,,,screener:staples,23.71,242.1,True
ZETA,Zeta Global Holdings Corp.,Information Technology,,STRONG BUY,4.69,,,,,,screener:technology,7.3,250.6,True
ACMR,ACM Research; Inc.,Information Technology,,STRONG BUY,4.69,,,,,,screener:technology|analysis,5.53,83.8,True
FORM,FormFactor; Inc.,Information Technology,,STRONG BUY,4.69,,,,,,screener:technology,8.92,151.3,True
FIVE,Five Below; Inc.,Consumer Discretionary,,STRONG BUY,4.67,,,,,,screener:consumer-disc,13.84,205.5,True
VIAV,Viavi Solutions Inc.,Information Technology,,STRONG BUY,4.67,,,,,,screener:technology,9.6,217.1,True
CLF,Cleveland-Cliffs Inc.,Materials,,STRONG BUY,4.66,,,,,,screener:materials,6.43,239.2,True
IESC,IES Holdings; Inc.,Industrials,,STRONG BUY,4.66,,,,,,screener:industrials,27.3,131.2,True
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,,STRONG BUY,4.66,,,,,,screener:industrials,11.65,246.9,True
BMO,Bank of Montreal,Financials,,STRONG BUY,4.66,,,,,,screener:financials,122.17,149.9,True
IT,Gartner; Inc.,Information Technology,,STRONG BUY,4.66,,,,,,screener:technology,12.37,284.4,True
VICR,Vicor Corporation,Industrials,,STRONG BUY,4.65,,,,,,screener:industrials,9.25,185.6,True
FLEX,Flex Ltd.,Information Technology,,STRONG BUY,4.64,,,,,,screener:top-rated-all|screener:technology|analysis|summary:round1,40.8,525.3,True
SNDR,Schneider National; Inc.,Industrials,,STRONG BUY,4.64,,,,,,screener:industrials,6.28,26.0,True
NTRS,Northern Trust Corporation,Financials,,STRONG BUY,4.64,,,,,,screener:financials,33.65,194.7,True
KEYS,Keysight Technologies; Inc.,Information Technology,,STRONG BUY,4.64,,,,,,screener:technology,53.84,461.5,True
YPF,YPF Sociedad Anónima,Energy,,STRONG BUY,4.63,,,,,,screener:energy,20.07,55.2,True
SOLV,Solventum Corporation,Health Care,,STRONG BUY,4.63,,,,,,screener:healthcare,15.25,114.7,True
BPOP,Popular; Inc.,Financials,,STRONG BUY,4.62,,,,,,screener:financials,10.78,72.0,True
KB,KB Financial Group Inc.,Financials,,STRONG BUY,4.62,,,,,,screener:financials,41.42,26.8,True
DLTR,Dollar Tree; Inc.,Consumer Staples,,STRONG BUY,4.61,,,,,,screener:staples,25.27,248.6,True
MCHP,Microchip Technology Incorporated,Information Technology,,STRONG BUY,4.61,,,,,,screener:technology,41.31,843.5,True
CLH,Clean Harbors; Inc.,Industrials,,STRONG BUY,4.6,,,,,,screener:industrials,16.68,169.8,True
TAL,TAL Education Group,Consumer Discretionary,Education Services,STRONG BUY,4.59,B+,A+,B+,B,B+,screener:consumer-disc|summary:kimi,6.28,65.9,True
TFC,Truist Financial Corporation,Financials,,STRONG BUY,4.59,,,,,,screener:financials,61.59,334.7,True
CVLT,Commvault Systems; Inc.,Information Technology,,STRONG BUY,4.58,,,,,,screener:top-rated-all|screener:technology,5.55,93.6,True
PAY,Paymentus Holdings; Inc.,Financials,,STRONG BUY,4.58,,,,,,screener:financials,5.04,53.7,True
PFG,Principal Financial Group; Inc.,Financials,,STRONG BUY,4.58,,,,,,screener:financials,23.71,148.9,True
MTG,MGIC Investment Corporation,Financials,,STRONG BUY,4.57,,,,,,screener:financials,6.34,50.8,True
LSCC,Lattice Semiconductor Corporation,Information Technology,,STRONG BUY,4.57,,,,,,screener:technology,16.72,244.4,True
LMT,Lockheed Martin Corporation,Industrials,Aerospace and Defense,STRONG BUY,4.56,C,C,A+,C+,B,screener:industrials|summary:kimi|analysis,130.07,648.5,True
UAL,United Airlines Holdings; Inc.,Industrials,,STRONG BUY,4.56,,,,,,screener:industrials,36.73,391.2,True
MTB,M&T Bank Corporation,Financials,,STRONG BUY,4.55,,,,,,screener:financials,34.71,244.9,True
PAGP,Plains GP Holdings; L.P. Class A Shares,Energy,,STRONG BUY,4.54,,,,,,screener:energy,5.31,44.4,True
LUV,Southwest Airlines Co.,Industrials,,STRONG BUY,4.54,,,,,,screener:industrials,19.75,209.4,True
AAL,American Airlines Group Inc.,Industrials,,STRONG BUY,4.54,,,,,,screener:industrials,9.15,856.3,True
AIZ,Assurant; Inc.,Financials,,STRONG BUY,4.54,,,,,,screener:financials,14.01,120.9,True
FITB,Fifth Third Bancorp,Financials,,STRONG BUY,4.54,,,,,,screener:financials,49.72,315.5,True
SNEX,StoneX Group Inc.,Financials,,STRONG BUY,4.53,,,,,,screener:top-rated-all|screener:financials,8.28,70.8,True
TFII,TFI International Inc.,Industrials,,STRONG BUY,4.53,,,,,,screener:industrials,11.62,49.8,True
CIEN,Ciena Corporation,Information Technology,,STRONG BUY,4.52,,,,,,screener:technology|summary:round1,56.03,876.5,True
DNTH,Dianthus Therapeutics; Inc.,Health Care,,STRONG BUY,4.52,,,,,,screener:healthcare,6.21,82.8,True
HWC,Hancock Whitney Corporation,Financials,,STRONG BUY,4.52,,,,,,screener:financials,6.05,56.4,True
LOAR,Loar Holdings Inc.,Industrials,,STRONG BUY,4.51,,,,,,screener:industrials,7.03,45.2,True
BURL,Burlington Stores; Inc.,Consumer Discretionary,,STRONG BUY,4.5,,,,,,screener:consumer-disc,20.55,272.5,True
PACS,PACS Group; Inc.,Health Care,,STRONG BUY,4.5,,,,,,screener:healthcare,7.01,40.8,True
PAA,Plains All American Pipeline; L.P. Common Units,Energy,,BUY,4.48,,,,,,screener:top-rated-all|screener:energy,17.36,64.7,True
PAYX,Paychex; Inc.,Industrials,,BUY,4.48,,,,,,screener:industrials,44.28,339.5,True
WDAY,Workday; Inc.,Information Technology,,BUY,4.47,,,,,,screener:technology,49.4,949.0,True
COP,ConocoPhillips,Energy,Oil and Gas Exploration and Production Ranked Overall 377 ou,BUY,4.46,D+,C+,A+,B+,B-,screener:energy|summary:grok,164.31,867.5,True
JHX,James Hardie Industries plc,Materials,,BUY,4.45,,,,,,screener:materials,17.67,197.3,True
PATH,UiPath; Inc.,Information Technology,,BUY,4.45,,,,,,screener:technology,8.49,958.8,True
HOOD,Robinhood Markets; Inc.,Financials,,BUY,4.44,,,,,,screener:financials,97.22,1859.5,True
EXLS,ExlService Holdings; Inc.,Industrials,,BUY,4.43,,,,,,screener:industrials,5.69,93.0,True
BG,Bunge Global SA,Consumer Staples,,BUY,4.43,,,,,,screener:staples,21.73,156.6,True
MET,MetLife; Inc.,Financials,,BUY,4.42,,,,,,screener:financials,59.95,374.0,True
TMUS,T-Mobile US; Inc.,Communication Services,,BUY,4.41,,,,,,screener:communication,196.34,842.2,True
MTCH,Match Group; Inc.,Communication Services,,BUY,4.41,,,,,,screener:communication,9.53,123.5,True
XPO,XPO; Inc.,Industrials,,BUY,4.38,,,,,,screener:industrials,23.15,197.8,True
CARR,Carrier Global Corporation,Industrials,,BUY,4.37,,,,,,screener:industrials,49.76,425.6,True
ADSK,Autodesk; Inc.,Information Technology,,BUY,4.37,,,,,,screener:technology,53.59,474.4,True
NNN,NNN REIT; Inc.,Real Estate,,BUY,4.35,,,,,,screener:real-estate|screener:reits|analysis,8.72,62.8,True
AER,AerCap Holdings N.V.,Industrials,,BUY,4.33,,,,,,screener:industrials,22.99,164.4,True
MMM,3M Company,Industrials,,BUY,4.32,,,,,,screener:industrials,92.29,554.7,True
UGP,Ultrapar Participações S.A.,Consumer Discretionary,,BUY,4.32,,,,,,screener:consumer-disc,7.18,20.4,True
ETSY,Etsy; Inc.,Consumer Discretionary,,BUY,4.31,,,,,,screener:consumer-disc,7.44,258.8,True
PCAR,PACCAR Inc,Industrials,,BUY,4.26,,,,,,screener:industrials,68.97,470.0,True
GLBE,Global-E Online Ltd.,Consumer Discretionary,,BUY,4.24,,,,,,screener:consumer-disc,6.81,62.7,True
SYY,Sysco Corporation,Consumer Staples,,BUY,4.24,,,,,,screener:staples,40.25,304.6,True
JD,JD.com; Inc.,Consumer Discretionary,,BUY,4.22,,,,,,screener:consumer-disc,39.66,301.3,True
FRT,Federal Realty Investment Trust,Real Estate,,BUY,4.21,,,,,,screener:real-estate|screener:reits,10.14,105.7,True
S,SentinelOne; Inc.,Information Technology,,BUY,4.21,,,,,,screener:technology,7.26,137.2,True
LEVI,Levi Strauss & Co.,Consumer Discretionary,,BUY,4.17,,,,,,screener:consumer-disc,8.27,50.1,True
CLS,Celestica Inc.,Information Technology,,BUY,4.16,,,,,,screener:technology,37.4,1137.0,True
MTSI,MACOM Technology Solutions Holdings; Inc.,Information Technology,,BUY,4.15,,,,,,screener:technology,20.36,429.0,True
ECG,Everus Construction Group; Inc.,Industrials,,BUY,4.14,,,,,,screener:top-rated-all|screener:industrials,6.43,81.3,True
SANM,Sanmina Corporation,Information Technology,,BUY,4.14,,,,,,screener:technology,10.12,158.6,True
SM,SM Energy Company,Energy,,BUY,4.13,,,,,,screener:top-rated-all|screener:energy,8.85,122.2,True
STRL,Sterling Infrastructure; Inc.,Industrials,,BUY,4.12,,,,,,screener:top-rated-all|screener:industrials,15.81,471.0,True
HRB,H&R Block; Inc.,Consumer Discretionary,,BUY,4.12,,,,,,screener:consumer-disc,6.62,135.1,True
ON,ON Semiconductor Corporation,Information Technology,,BUY,4.11,,,,,,screener:technology,28.89,791.6,True
TTMI,TTM Technologies; Inc.,Information Technology,,BUY,4.1,,,,,,screener:technology,11.65,426.0,True
BC,Brunswick Corporation,Consumer Discretionary,,BUY,4.09,,,,,,screener:consumer-disc,5.24,58.3,True
CMG,Chipotle Mexican Grill; Inc.,Consumer Discretionary,,BUY,4.08,,,,,,screener:consumer-disc,46.78,679.3,True
SPXC,SPX Technologies; Inc.,Industrials,,BUY,4.07,,,,,,screener:industrials,10.38,100.6,True
APPF,AppFolio; Inc.,Information Technology,,BUY,4.07,,,,,,screener:technology,7.95,84.3,True
GNRC,Generac Holdings Inc.,Industrials,,BUY,4.05,,,,,,screener:industrials,12.15,248.6,True
DY,Dycom Industries; Inc.,Industrials,,BUY,4.05,,,,,,screener:industrials,11.8,173.3,True
RDDT,Reddit; Inc.,Communication Services,,BUY,4.05,,,,,,screener:communication,29.49,1468.6,True
AXON,Axon Enterprise; Inc.,Industrials,,BUY,4.04,,,,,,screener:industrials,51.0,562.3,True
KNSA,Kiniksa Pharmaceuticals International; plc,Health Care,,BUY,4.04,,,,,,screener:healthcare,6.17,54.1,True
MLI,Mueller Industries; Inc.,Industrials,,BUY,4,,,,,,screener:industrials,13.98,73.6,True
STM,STMicroelectronics N.V.,Information Technology,,BUY,3.99,,,,,,screener:technology,45.12,496.5,True
HRL,Hormel Foods Corporation,Consumer Staples,,BUY,3.98,,,,,,screener:staples,13.14,89.7,True
FLR,Fluor Corporation,Industrials,Construction and Engineering,BUY,3.97,C-,C,D,B+,B,screener:industrials|summary:kimi|analysis,7.01,151.4,True
JAZZ,Jazz Pharmaceuticals plc,Health Care,,BUY,3.96,,,,,,screener:healthcare,16.51,200.1,True
SO,The Southern Company,Utilities,,BUY,3.94,,,,,,screener:utilities,102.31,514.7,True
FMX,Fomento Económico Mexicano; S.A.B. de C.V.,Consumer Staples,,BUY,3.94,,,,,,screener:top-rated-all|screener:staples,41.11,66.2,True
NTES,NetEase; Inc.,Communication Services,,BUY,3.94,,,,,,screener:communication|analysis,82.06,107.3,True
EXR,Extra Space Storage Inc.,Real Estate,,BUY,3.92,,,,,,screener:real-estate|screener:reits,31.02,169.2,True
GGB,Gerdau S.A.,Materials,,BUY,3.91,,,,,,screener:materials,8.5,56.5,True
SU,Suncor Energy Inc.,Energy,,BUY,3.9,,,,,,screener:energy,80.79,288.9,True
MGM,MGM Resorts International,Consumer Discretionary,,BUY,3.9,,,,,,screener:consumer-disc|analysis,11.19,108.4,True
SAIL,SailPoint; Inc.,Information Technology,,BUY,3.88,,,,,,screener:technology,10.57,54.8,True
RIO,Rio Tinto Group,Materials,,BUY,3.86,,,,,,screener:materials,171.31,247.9,True
MTZ,MasTec; Inc.,Industrials,,BUY,3.86,,,,,,screener:industrials,21.38,474.9,True
EMBJ,Embraer S.A.,Industrials,,BUY,3.85,,,,,,screener:industrials,13.52,100.9,True
AUGO,Aura Minerals Inc.,Materials,,BUY,3.84,,,,,,screener:materials,7.32,67.1,True
GTES,Gates Industrial Corporation Ltd.,Industrials,,BUY,3.84,,,,,,screener:industrials,6.56,54.7,True
BOOT,Boot Barn Holdings; Inc.,Consumer Discretionary,,BUY,3.84,,,,,,screener:consumer-disc,5.01,121.1,True
CVNA,Carvana Co.,Consumer Discretionary,,BUY,3.83,,,,,,screener:consumer-disc,76.87,763.6,True
CART,Maplebear Inc.,Consumer Staples,,BUY,3.83,,,,,,screener:staples,11.54,216.1,True
LYFT,Lyft; Inc.,Industrials,,BUY,3.82,,,,,,screener:industrials,6.61,190.9,True
SQM,Sociedad Química y Minera de Chile S.A.,Materials,,BUY,3.81,,,,,,screener:top-rated-all|screener:materials|analysis,23.41,69.9,True
LYB,LyondellBasell Industries N.V.,Materials,,BUY,3.8,,,,,,screener:materials,21.81,282.6,True
WBD,Warner Bros. Discovery; Inc.,Communication Services,,BUY,3.8,,,,,,screener:communication,71.58,573.0,True
CNQ,Canadian Natural Resources Limited,Energy,"Oil and Gas Exploration and Production Ranked Overal"",",BUY,3.79,C,C,A+,B+,C-,screener:energy|summary:grok,105.96,297.0,True
DVN,Devon Energy Corporation,Energy,,BUY,3.79,,,,,,screener:energy,54.01,497.9,True
AIR,AAR Corp.,Industrials,,BUY,3.78,,,,,,screener:industrials|analysis,5.43,59.8,True
DOC,Healthpeak Properties; Inc.,Real Estate,,BUY,3.78,,,,,,screener:real-estate|screener:reits,14.76,119.4,True
KDP,Keurig Dr Pepper Inc.,Consumer Staples,,BUY,3.76,,,,,,screener:staples,43.6,400.6,True
ALGM,Allegro MicroSystems; Inc.,Information Technology,,BUY,3.76,,,,,,screener:technology,6.93,97.5,True
HESM,Hess Midstream LP,Energy,,BUY,3.75,,,,,,screener:energy|analysis,5.02,49.5,True
CRSP,CRISPR Therapeutics AG,Health Care,,BUY,3.75,,,,,,screener:healthcare,5.75,83.9,True
HBM,Hudbay Minerals Inc.,Materials,,BUY,3.74,,,,,,screener:materials,13.35,133.0,True
HSY,The Hershey Company,Consumer Staples,,BUY,3.7,,,,,,screener:staples,37.46,260.7,True
LKNCY,Luckin Coffee Inc.,Consumer Discretionary,,BUY,3.69,,,,,,screener:consumer-disc,10.27,56.8,True
YUMC,Yum China Holdings; Inc.,Consumer Discretionary,,BUY,3.68,,,,,,screener:consumer-disc,16.92,71.8,True
AEP,American Electric Power Company; Inc.,Utilities,,BUY,3.67,,,,,,screener:utilities,65.84,486.9,True
IP,International Paper Company,Materials,,BUY,3.66,,,,,,screener:materials,21.97,184.5,True
LAUR,Laureate Education; Inc.,Consumer Discretionary,,BUY,3.66,,,,,,screener:consumer-disc,5.16,35.5,True
PM,Philip Morris International Inc.,Consumer Staples,,BUY,3.65,,,,,,screener:staples,293.38,936.3,True
REYN,Reynolds Consumer Products Inc.,Consumer Staples,,BUY,3.65,,,,,,screener:staples,5.37,32.1,True
SUN,Sunoco LP Common Units,Energy,,BUY,3.64,,,,,,screener:energy,14.29,38.2,True
B,Barrick Mining Corporation,Materials,,BUY,3.64,,,,,,screener:materials|analysis,78.34,469.1,True
SE,Sea Limited,Consumer Discretionary,,BUY,3.64,,,,,,screener:consumer-disc,71.99,587.4,True
OHI,Omega Healthcare Investors; Inc.,Real Estate,,BUY,3.64,,,,,,screener:real-estate|screener:reits,14.12,93.9,True
MDLZ,Mondelez International; Inc.,Consumer Staples,,BUY,3.62,,,,,,screener:staples,82.26,534.2,True
MT,ArcelorMittal S.A.,Materials,,BUY,3.6,,,,,,screener:materials,54.44,110.1,True
KVUE,Kenvue Inc.,Consumer Staples,,BUY,3.6,,,,,,screener:staples,36.61,416.0,True
NBIX,Neurocrine Biosciences; Inc. Common Stock,Health Care,"Biotechnology Ranked Overall 717 out "",",BUY,3.59,A-,A,A,C+,C-,summary:grok|analysis,15.51,239.5,True
